"time","strength","rho","var_cause","var_consequence","id_timeseries","theta","Observations","Predictions","Pred_Variance","stocklong","assessid","scientificname","commonname","areaid","region"
1931,-0.00023377365349947,0.999963143876882,"sst.z","R","ACADREDGOMGB",4.2,1.29656932450203,1.29474775644266,0.150405263194714,"Acadian redfish Gulf of Maine / Georges Bank","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Sebastes fasciatus","Acadian redfish","USA-NMFS-5YZ","US East Coast"
1932,0.000428764190188168,0.999963143876882,"sst.z","R","ACADREDGOMGB",4.2,1.29693467864338,1.29536212736823,0.189662965530553,"Acadian redfish Gulf of Maine / Georges Bank","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Sebastes fasciatus","Acadian redfish","USA-NMFS-5YZ","US East Coast"
1933,-0.00238173122998431,0.999963143876882,"sst.z","R","ACADREDGOMGB",4.2,1.29706226262924,1.29531303921314,0.121404239003161,"Acadian redfish Gulf of Maine / Georges Bank","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Sebastes fasciatus","Acadian redfish","USA-NMFS-5YZ","US East Coast"
1934,-0.000392301743251395,0.999963143876882,"sst.z","R","ACADREDGOMGB",4.2,1.29350730884127,1.29565470585918,0.138019535251228,"Acadian redfish Gulf of Maine / Georges Bank","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Sebastes fasciatus","Acadian redfish","USA-NMFS-5YZ","US East Coast"
1935,-0.000778245194810543,0.999963143876882,"sst.z","R","ACADREDGOMGB",4.2,1.27710696738549,1.28634278283489,0.120128472184658,"Acadian redfish Gulf of Maine / Georges Bank","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Sebastes fasciatus","Acadian redfish","USA-NMFS-5YZ","US East Coast"
1936,-0.00247833682801282,0.999963143876882,"sst.z","R","ACADREDGOMGB",4.2,1.25303998823362,1.24590608793118,0.106385458443959,"Acadian redfish Gulf of Maine / Georges Bank","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Sebastes fasciatus","Acadian redfish","USA-NMFS-5YZ","US East Coast"
1937,-0.00158972072735135,0.999963143876882,"sst.z","R","ACADREDGOMGB",4.2,1.23179725458705,1.23635039702036,0.136323758355781,"Acadian redfish Gulf of Maine / Georges Bank","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Sebastes fasciatus","Acadian redfish","USA-NMFS-5YZ","US East Coast"
1938,0.000268568423673366,0.999963143876882,"sst.z","R","ACADREDGOMGB",4.2,1.20279509489103,1.20712412535474,0.143537551535486,"Acadian redfish Gulf of Maine / Georges Bank","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Sebastes fasciatus","Acadian redfish","USA-NMFS-5YZ","US East Coast"
1939,0.000251338844684341,0.999963143876882,"sst.z","R","ACADREDGOMGB",4.2,1.16810964855192,1.16446943790212,0.174239985618566,"Acadian redfish Gulf of Maine / Georges Bank","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Sebastes fasciatus","Acadian redfish","USA-NMFS-5YZ","US East Coast"
1940,-0.00080983081768942,0.999963143876882,"sst.z","R","ACADREDGOMGB",4.2,1.11526088204325,1.13081087292349,0.161986815940382,"Acadian redfish Gulf of Maine / Georges Bank","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Sebastes fasciatus","Acadian redfish","USA-NMFS-5YZ","US East Coast"
1941,-0.00318342056125022,0.999963143876882,"sst.z","R","ACADREDGOMGB",4.2,1.03064950232621,1.04984276255548,0.176637248886404,"Acadian redfish Gulf of Maine / Georges Bank","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Sebastes fasciatus","Acadian redfish","USA-NMFS-5YZ","US East Coast"
1942,-0.00100068086296303,0.999963143876882,"sst.z","R","ACADREDGOMGB",4.2,0.937153637775275,0.914719438566445,0.302201393687495,"Acadian redfish Gulf of Maine / Georges Bank","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Sebastes fasciatus","Acadian redfish","USA-NMFS-5YZ","US East Coast"
1943,0.00127706382361221,0.999963143876882,"sst.z","R","ACADREDGOMGB",4.2,0.840798732086539,0.847932674850582,0.343684771485885,"Acadian redfish Gulf of Maine / Georges Bank","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Sebastes fasciatus","Acadian redfish","USA-NMFS-5YZ","US East Coast"
1944,0.00169594752894065,0.999963143876882,"sst.z","R","ACADREDGOMGB",4.2,0.74468159655328,0.73789797318556,0.31152876590753,"Acadian redfish Gulf of Maine / Georges Bank","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Sebastes fasciatus","Acadian redfish","USA-NMFS-5YZ","US East Coast"
1945,0.00114169784645349,0.999963143876882,"sst.z","R","ACADREDGOMGB",4.2,0.654236149118941,0.653935622330583,0.319351704673762,"Acadian redfish Gulf of Maine / Georges Bank","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Sebastes fasciatus","Acadian redfish","USA-NMFS-5YZ","US East Coast"
1946,0.00228514538046375,0.999963143876882,"sst.z","R","ACADREDGOMGB",4.2,0.55109029581892,0.566008529385922,0.276162677879821,"Acadian redfish Gulf of Maine / Georges Bank","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Sebastes fasciatus","Acadian redfish","USA-NMFS-5YZ","US East Coast"
1947,-0.00138160133138649,0.999963143876882,"sst.z","R","ACADREDGOMGB",4.2,0.437215789162042,0.446590642107039,0.361573426917857,"Acadian redfish Gulf of Maine / Georges Bank","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Sebastes fasciatus","Acadian redfish","USA-NMFS-5YZ","US East Coast"
1948,0.00413356658948039,0.999963143876882,"sst.z","R","ACADREDGOMGB",4.2,0.325434819727773,0.317049323569279,0.240018817920787,"Acadian redfish Gulf of Maine / Georges Bank","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Sebastes fasciatus","Acadian redfish","USA-NMFS-5YZ","US East Coast"
1949,0.00662089040215323,0.999963143876882,"sst.z","R","ACADREDGOMGB",4.2,0.228227421042573,0.236567873587298,0.288169768581352,"Acadian redfish Gulf of Maine / Georges Bank","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Sebastes fasciatus","Acadian redfish","USA-NMFS-5YZ","US East Coast"
1950,0.00959643444441412,0.999963143876882,"sst.z","R","ACADREDGOMGB",4.2,0.122280519325599,0.148253926397471,0.221938516248625,"Acadian redfish Gulf of Maine / Georges Bank","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Sebastes fasciatus","Acadian redfish","USA-NMFS-5YZ","US East Coast"
1951,0.0018781455711547,0.999963143876882,"sst.z","R","ACADREDGOMGB",4.2,0.0384172457074944,0.0255209405832113,0.232704243238152,"Acadian redfish Gulf of Maine / Georges Bank","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Sebastes fasciatus","Acadian redfish","USA-NMFS-5YZ","US East Coast"
1952,-0.00308198161142922,0.999963143876882,"sst.z","R","ACADREDGOMGB",4.2,-0.0135094365396885,-0.0226870413907052,0.247353998019075,"Acadian redfish Gulf of Maine / Georges Bank","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Sebastes fasciatus","Acadian redfish","USA-NMFS-5YZ","US East Coast"
1953,0.000858941098863745,0.999963143876882,"sst.z","R","ACADREDGOMGB",4.2,-0.0437642390060221,-0.0450374582171799,0.178303773126407,"Acadian redfish Gulf of Maine / Georges Bank","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Sebastes fasciatus","Acadian redfish","USA-NMFS-5YZ","US East Coast"
1954,0.00168446604082602,0.999963143876882,"sst.z","R","ACADREDGOMGB",4.2,-0.0641428811119637,-0.0618711443426197,0.167493460801398,"Acadian redfish Gulf of Maine / Georges Bank","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Sebastes fasciatus","Acadian redfish","USA-NMFS-5YZ","US East Coast"
1955,-0.0010482346922922,0.999963143876882,"sst.z","R","ACADREDGOMGB",4.2,-0.0891609408857349,-0.0905481587848964,0.151033347092894,"Acadian redfish Gulf of Maine / Georges Bank","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Sebastes fasciatus","Acadian redfish","USA-NMFS-5YZ","US East Coast"
1956,-0.00250900932292441,0.999963143876882,"sst.z","R","ACADREDGOMGB",4.2,-0.126891005069359,-0.121120837447257,0.145216618131094,"Acadian redfish Gulf of Maine / Georges Bank","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Sebastes fasciatus","Acadian redfish","USA-NMFS-5YZ","US East Coast"
1957,-0.0108552930860479,0.999963143876882,"sst.z","R","ACADREDGOMGB",4.2,-0.175367120426094,-0.176440916264352,0.142219954896512,"Acadian redfish Gulf of Maine / Georges Bank","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Sebastes fasciatus","Acadian redfish","USA-NMFS-5YZ","US East Coast"
1958,-0.00270100907931029,0.999963143876882,"sst.z","R","ACADREDGOMGB",4.2,-0.216930503457762,-0.223713557202214,0.190067721306027,"Acadian redfish Gulf of Maine / Georges Bank","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Sebastes fasciatus","Acadian redfish","USA-NMFS-5YZ","US East Coast"
1959,-0.0132476823209787,0.999963143876882,"sst.z","R","ACADREDGOMGB",4.2,-0.248055196736814,-0.253404130825925,0.126059378746521,"Acadian redfish Gulf of Maine / Georges Bank","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Sebastes fasciatus","Acadian redfish","USA-NMFS-5YZ","US East Coast"
1960,-0.0124281043999178,0.999963143876882,"sst.z","R","ACADREDGOMGB",4.2,-0.272127975160765,-0.259259717363805,0.125188225675356,"Acadian redfish Gulf of Maine / Georges Bank","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Sebastes fasciatus","Acadian redfish","USA-NMFS-5YZ","US East Coast"
1961,-0.00755155757350937,0.999963143876882,"sst.z","R","ACADREDGOMGB",4.2,-0.307863089747222,-0.307316786303216,0.138939911118359,"Acadian redfish Gulf of Maine / Georges Bank","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Sebastes fasciatus","Acadian redfish","USA-NMFS-5YZ","US East Coast"
1962,-0.00885184662404127,0.999963143876882,"sst.z","R","ACADREDGOMGB",4.2,-0.333925018496255,-0.346014603560842,0.126646633383937,"Acadian redfish Gulf of Maine / Georges Bank","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Sebastes fasciatus","Acadian redfish","USA-NMFS-5YZ","US East Coast"
1963,-0.0163934756376021,0.999963143876882,"sst.z","R","ACADREDGOMGB",4.2,-0.339701093492703,-0.340508983484566,0.127774142649034,"Acadian redfish Gulf of Maine / Georges Bank","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Sebastes fasciatus","Acadian redfish","USA-NMFS-5YZ","US East Coast"
1964,-0.0104455650841072,0.999963143876882,"sst.z","R","ACADREDGOMGB",4.2,-0.337810530793062,-0.34278493125368,0.131393477533578,"Acadian redfish Gulf of Maine / Georges Bank","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Sebastes fasciatus","Acadian redfish","USA-NMFS-5YZ","US East Coast"
1965,-0.00513056939324103,0.999963143876882,"sst.z","R","ACADREDGOMGB",4.2,-0.336030154263033,-0.34021559363934,0.201095117024605,"Acadian redfish Gulf of Maine / Georges Bank","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Sebastes fasciatus","Acadian redfish","USA-NMFS-5YZ","US East Coast"
1966,-0.00466108741671993,0.999963143876882,"sst.z","R","ACADREDGOMGB",4.2,-0.342577532446757,-0.334159037594485,0.426670016609538,"Acadian redfish Gulf of Maine / Georges Bank","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Sebastes fasciatus","Acadian redfish","USA-NMFS-5YZ","US East Coast"
1967,-0.00242085766851269,0.999963143876882,"sst.z","R","ACADREDGOMGB",4.2,-0.347866468588083,-0.368965944839957,0.199019210488081,"Acadian redfish Gulf of Maine / Georges Bank","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Sebastes fasciatus","Acadian redfish","USA-NMFS-5YZ","US East Coast"
1968,-0.00976182811030313,0.999963143876882,"sst.z","R","ACADREDGOMGB",4.2,-0.354645817655199,-0.336551579174019,0.212823715865975,"Acadian redfish Gulf of Maine / Georges Bank","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Sebastes fasciatus","Acadian redfish","USA-NMFS-5YZ","US East Coast"
1969,-0.00564501825439044,0.999963143876882,"sst.z","R","ACADREDGOMGB",4.2,-0.401509735372363,-0.377830729749238,0.165945962304285,"Acadian redfish Gulf of Maine / Georges Bank","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Sebastes fasciatus","Acadian redfish","USA-NMFS-5YZ","US East Coast"
1970,-0.00911880028115575,0.999963143876882,"sst.z","R","ACADREDGOMGB",4.2,-0.486933013181275,-0.482364158365008,0.167441467163696,"Acadian redfish Gulf of Maine / Georges Bank","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Sebastes fasciatus","Acadian redfish","USA-NMFS-5YZ","US East Coast"
1971,-0.0111210011128008,0.999963143876882,"sst.z","R","ACADREDGOMGB",4.2,-0.600482760601405,-0.598102912233619,0.229603798006285,"Acadian redfish Gulf of Maine / Georges Bank","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Sebastes fasciatus","Acadian redfish","USA-NMFS-5YZ","US East Coast"
1972,-0.017900914257751,0.999963143876882,"sst.z","R","ACADREDGOMGB",4.2,-0.722377660551543,-0.712311226430317,0.285878657357688,"Acadian redfish Gulf of Maine / Georges Bank","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Sebastes fasciatus","Acadian redfish","USA-NMFS-5YZ","US East Coast"
1973,-0.0137743484968868,0.999963143876882,"sst.z","R","ACADREDGOMGB",4.2,-0.82251369163956,-0.837846558242887,0.306552403464587,"Acadian redfish Gulf of Maine / Georges Bank","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Sebastes fasciatus","Acadian redfish","USA-NMFS-5YZ","US East Coast"
1974,-0.0155479194619417,0.999963143876882,"sst.z","R","ACADREDGOMGB",4.2,-0.889454689314257,-0.888818081691993,0.316684422338197,"Acadian redfish Gulf of Maine / Georges Bank","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Sebastes fasciatus","Acadian redfish","USA-NMFS-5YZ","US East Coast"
1975,-0.0150177560724597,0.999963143876882,"sst.z","R","ACADREDGOMGB",4.2,-0.952898725921826,-0.937272094382417,0.345456225992014,"Acadian redfish Gulf of Maine / Georges Bank","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Sebastes fasciatus","Acadian redfish","USA-NMFS-5YZ","US East Coast"
1976,-0.0200267613932122,0.999963143876882,"sst.z","R","ACADREDGOMGB",4.2,-1.0209531838368,-1.02204509829852,0.348523603225889,"Acadian redfish Gulf of Maine / Georges Bank","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Sebastes fasciatus","Acadian redfish","USA-NMFS-5YZ","US East Coast"
1977,-0.00847373079184561,0.999963143876882,"sst.z","R","ACADREDGOMGB",4.2,-1.10801185637362,-1.09666806812848,0.404877807119644,"Acadian redfish Gulf of Maine / Georges Bank","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Sebastes fasciatus","Acadian redfish","USA-NMFS-5YZ","US East Coast"
1978,-0.0144018205972332,0.999963143876882,"sst.z","R","ACADREDGOMGB",4.2,-1.21590731351109,-1.19646653878302,0.361742244642033,"Acadian redfish Gulf of Maine / Georges Bank","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Sebastes fasciatus","Acadian redfish","USA-NMFS-5YZ","US East Coast"
1979,-0.00316419641991582,0.999963143876882,"sst.z","R","ACADREDGOMGB",4.2,-1.3218774123164,-1.33346770401463,0.415467174857928,"Acadian redfish Gulf of Maine / Georges Bank","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Sebastes fasciatus","Acadian redfish","USA-NMFS-5YZ","US East Coast"
1980,-0.00534397653565378,0.999963143876882,"sst.z","R","ACADREDGOMGB",4.2,-1.40183081669494,-1.42183665837065,0.609383976704102,"Acadian redfish Gulf of Maine / Georges Bank","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Sebastes fasciatus","Acadian redfish","USA-NMFS-5YZ","US East Coast"
1981,-0.00511774894380784,0.999963143876882,"sst.z","R","ACADREDGOMGB",4.2,-1.47382935955478,-1.45211033534162,0.386664868913667,"Acadian redfish Gulf of Maine / Georges Bank","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Sebastes fasciatus","Acadian redfish","USA-NMFS-5YZ","US East Coast"
1982,-0.0071805862622509,0.999963143876882,"sst.z","R","ACADREDGOMGB",4.2,-1.53547620174327,-1.5354832699255,0.420006731067371,"Acadian redfish Gulf of Maine / Georges Bank","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Sebastes fasciatus","Acadian redfish","USA-NMFS-5YZ","US East Coast"
1983,-0.00568819734173499,0.999963143876882,"sst.z","R","ACADREDGOMGB",4.2,-1.58376326083004,-1.5850645470942,0.423057527053964,"Acadian redfish Gulf of Maine / Georges Bank","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Sebastes fasciatus","Acadian redfish","USA-NMFS-5YZ","US East Coast"
1984,-0.00272544009937789,0.999963143876882,"sst.z","R","ACADREDGOMGB",4.2,-1.62532490408009,-1.62052851879855,0.456992856791104,"Acadian redfish Gulf of Maine / Georges Bank","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Sebastes fasciatus","Acadian redfish","USA-NMFS-5YZ","US East Coast"
1985,-0.00664860360692835,0.999963143876882,"sst.z","R","ACADREDGOMGB",4.2,-1.65552809302487,-1.65590956291136,0.451807168833515,"Acadian redfish Gulf of Maine / Georges Bank","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Sebastes fasciatus","Acadian redfish","USA-NMFS-5YZ","US East Coast"
1986,-0.00818890234557267,0.999963143876882,"sst.z","R","ACADREDGOMGB",4.2,-1.66778659435769,-1.67328533530001,0.497572084851099,"Acadian redfish Gulf of Maine / Georges Bank","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Sebastes fasciatus","Acadian redfish","USA-NMFS-5YZ","US East Coast"
1987,-0.0051365729281713,0.999963143876882,"sst.z","R","ACADREDGOMGB",4.2,-1.6639092010418,-1.6633751766339,0.510624611558031,"Acadian redfish Gulf of Maine / Georges Bank","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Sebastes fasciatus","Acadian redfish","USA-NMFS-5YZ","US East Coast"
1988,-0.000666543760123323,0.999963143876882,"sst.z","R","ACADREDGOMGB",4.2,-1.64805283130758,-1.6460752834253,0.591345279186921,"Acadian redfish Gulf of Maine / Georges Bank","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Sebastes fasciatus","Acadian redfish","USA-NMFS-5YZ","US East Coast"
1989,-0.000951121958223066,0.999963143876882,"sst.z","R","ACADREDGOMGB",4.2,-1.62414533213804,-1.62114736324707,0.557413020946824,"Acadian redfish Gulf of Maine / Georges Bank","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Sebastes fasciatus","Acadian redfish","USA-NMFS-5YZ","US East Coast"
1990,0.00288141039076555,0.999963143876882,"sst.z","R","ACADREDGOMGB",4.2,-1.60276167617981,-1.58970595654177,0.528955032722578,"Acadian redfish Gulf of Maine / Georges Bank","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Sebastes fasciatus","Acadian redfish","USA-NMFS-5YZ","US East Coast"
1991,0.000594670217412458,0.999963143876882,"sst.z","R","ACADREDGOMGB",4.2,-1.58215338289931,-1.58738806527418,0.605691733612869,"Acadian redfish Gulf of Maine / Georges Bank","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Sebastes fasciatus","Acadian redfish","USA-NMFS-5YZ","US East Coast"
1992,-0.00326948393731365,0.999963143876882,"sst.z","R","ACADREDGOMGB",4.2,-1.54730845657787,-1.56040404077851,0.539512869071089,"Acadian redfish Gulf of Maine / Georges Bank","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Sebastes fasciatus","Acadian redfish","USA-NMFS-5YZ","US East Coast"
1993,-0.00027309058660538,0.999963143876882,"sst.z","R","ACADREDGOMGB",4.2,-1.5011967044501,-1.50043660211727,0.51184842842264,"Acadian redfish Gulf of Maine / Georges Bank","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Sebastes fasciatus","Acadian redfish","USA-NMFS-5YZ","US East Coast"
1994,0.00215676931640439,0.999963143876882,"sst.z","R","ACADREDGOMGB",4.2,-1.43927323698316,-1.44693496793387,0.423633988514753,"Acadian redfish Gulf of Maine / Georges Bank","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Sebastes fasciatus","Acadian redfish","USA-NMFS-5YZ","US East Coast"
1995,0.00284590579259211,0.999963143876882,"sst.z","R","ACADREDGOMGB",4.2,-1.36042517386398,-1.363682507499,0.40115794537311,"Acadian redfish Gulf of Maine / Georges Bank","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Sebastes fasciatus","Acadian redfish","USA-NMFS-5YZ","US East Coast"
1996,-0.000515348014750876,0.999963143876882,"sst.z","R","ACADREDGOMGB",4.2,-1.26113003722826,-1.26815125888415,0.376744005295976,"Acadian redfish Gulf of Maine / Georges Bank","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Sebastes fasciatus","Acadian redfish","USA-NMFS-5YZ","US East Coast"
1997,0.0014665615232199,0.999963143876882,"sst.z","R","ACADREDGOMGB",4.2,-1.1432830291933,-1.14865928520626,0.388672974921208,"Acadian redfish Gulf of Maine / Georges Bank","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Sebastes fasciatus","Acadian redfish","USA-NMFS-5YZ","US East Coast"
1998,-0.000486501197527851,0.999963143876882,"sst.z","R","ACADREDGOMGB",4.2,-1.0150089299499,-1.01093243614395,0.343850297938226,"Acadian redfish Gulf of Maine / Georges Bank","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Sebastes fasciatus","Acadian redfish","USA-NMFS-5YZ","US East Coast"
1999,0.000656615930245901,0.999963143876882,"sst.z","R","ACADREDGOMGB",4.2,-0.884328132791305,-0.8795543343808,0.344496614967072,"Acadian redfish Gulf of Maine / Georges Bank","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Sebastes fasciatus","Acadian redfish","USA-NMFS-5YZ","US East Coast"
2000,0.000743831890508346,0.999963143876882,"sst.z","R","ACADREDGOMGB",4.2,-0.75865790671397,-0.752790146298081,0.40021991137772,"Acadian redfish Gulf of Maine / Georges Bank","NEFSC-ACADREDGOMGB-1913-2007-MILLER","Sebastes fasciatus","Acadian redfish","USA-NMFS-5YZ","US East Coast"
